id,title,genres,desc,image,vendorlocation,averagerating
91,Nederlander Concerts,Concert Promoter,"Discover your live experience with independent music concerts, comedy, clubs, theater, festivals event tickets",vendor_image/Nederlander_Concerts.jpeg,Jln. Tanjung Lengkong RT. 011 / 007 Kel. Bidara Cina Jakarta Timur,4
90,TEG Dainty,Concert Promoter,Find out below which major concerts and festivals are touring,vendor_image/TEG_Dainty.jpeg,Jln. Kampung Pulo RT. 001 / 002 Kel. Kampung Melayu Jakarta Timur,4
89,Beaver Productions,Concert Promoter,"Check the upcoming tour dates and destinations, and purchase official tickets now",vendor_image/Beaver_Productions.jpeg,Jln. Jati Bendungan RT. 006 / 003 Kel. Jati Jakarta Timur,4
88,Live Nation Global Touring,Concert Promoter,"Legendary headliners in Jakarta. Lineup news, event info, tickets and more",vendor_image/Live_Nation_Global_Touring.jpeg,Jln. Plitur I RT. 003 / 017 Kel. Kayu Putih Jakarta Timur,4
87,Professional Facilities Mgmt,Concert Promoter,"The performance may be by a single musician, sometimes then called a recital, or by a musical",vendor_image/Professional_Facilities_Mgmt.jpeg,Jln. Rawa Mangun II No. 1 RT. 005 / 012 Kel. Rawa Mangun Jakarta Timur,4
86,Evenko,Concert Promoter,"Evenko presents unique artistic collaborations, rare regional appearances",vendor_image/Evenko.jpeg,Jln. Ina RT. 011 / 003 Kel. Jatinegara Kaum Jakarta Timur,5
85,DF Concerts,Concert Promoter,"Brings you inside access to tickets, artist news, and exclusive stories on concerts, tours, sports teams, family events",vendor_image/DF_Concerts_.jpeg,Jln. Cipinang Baru Raya RT. 007 / 006 Kel. Cipinang Jakarta Timur,5
84,Concerts West,Concert Promoter,"Buy concert, theatre, music, sport, event",vendor_image/Concerts_West.jpeg,Jln. Gadung Raya RT. 006 / 014 Kel. Pisangan Timur Jakarta Timur,4
83,Frontier Touring Company,Concert Promoter,grab your Concert Tickets tickets at Frontier,vendor_image/Frontier_Touring_Company.jpeg,Jln. Sunter RT. 008 / 001 Kel. Pulo Gadung Jakarta Timur,4
82,NS2,Concert Promoter,check out the artists touring in a city near you and buy tickets at NS2,vendor_image/NS2.jpeg,Jln. Galursari II RT. 001 / 006 Kel. Utan Kayu Selatan Jakarta Timur,4
81,Peter Rieger Konzertagentur,Concert Promoter,Experience the world's best artists or up-and-coming musicians live,vendor_image/Peter_Rieger_Konzertagentur_.jpeg,Jl. Kesatria 9 RT. 017 / 003 Kel. Kebon Manggis Jakarta Timur,4
80,Another Planet Entertainment,Concert Promoter,"There's no end to the experiences one can have when heading out to a Concert Tickets, and now couldn't be a better time for you to join in on the fun",vendor_image/Another_Planet_Entertainment.jpeg,Jln. Kayu Manis I Lama RT. 012 / 008 Kel. Pal Meriam Jakarta Timur,5
79,Broadway Across,Concert Promoter,"It's always an enjoyable experience to go out and see an artist perform live as a headliner, opening act or as part of a music festival lineup",vendor_image/Broadway_Across.jpeg,Jln. Kayu Manis VII RT. 09 / 07 Kel. Kayu Manis Jakarta Timur,5
78,Time For Fun,Concert Promoter,"Today's music scene is packed with artists who have revolutionized long-established genres, and nothing showcases the talent of these singer-songwriters/composers/musicians better than seeing them live",vendor_image/Time_For_Fun.jpeg,Jln. Rambutan RT. 007 / 003 Kel. Utan Kayu Utara Jakarta Timur,4
77,Premier Productions,Concert Promoter,Start making your plans as soon as you can to make that Festival Tickets you've always wanted to go to a reality,vendor_image/Premier_Productions.jpeg,Jln Rambutan RT. 001 / RW. 001 Kel. Utan Kayu Utara Jakarta Timur,5
76,FPC Live,Concert Promoter,it's always a good time to snag a few Festival Tickets tickets,vendor_image/FPC_Live.jpeg,"Jl. TB Simatupang No.23, TB Simatupang, Jakarta Selatan",4
75,Marshall Arts,Concert Promoter,"Festival Ticketss are all about living in that moment, where nothing else matters but the music, the bands and the camaraderie that comes along with it all",vendor_image/Marshall_Arts.jpeg,"Jl. TB Simatupang No.22, TB Simatupang, Jakarta Selatan",4
74,Zignia Live,Concert Promoter,Help fans buy and sell tickets at no more than their original face value,vendor_image/Zignia_Live.jpeg,"Jl. TB Simatupang No.21, TB Simatupang, Jakarta Selatan",4
73,FKP Scorpio Konzertproduktionen,Concert Promoter,"Get concert tickets, news and RSVP to shows with FKP Scorpio",vendor_image/FKP_Scorpio_Konzertproduktionen.jpeg,"Jl. TB Simatupang No.20, TB Simatupang, Jakarta Selatan",5
72,MCD Productions,Concert Promoter,Find tour dates and live music events for all your favorite bands and artists in your city,vendor_image/MCD_Productions.jpeg,"Jl. Jend. Sudirman Kav. 11, Sudirman, Jakarta Selatan",5
71,Feld Entertainment,Concert Promoter,Get alerts and recommendations based on the artists you listen to most. Booked your own concert tickets,vendor_image/Feld_Entertainment_.jpeg,"Jl. Jend. Sudirman Kav. 10-11, Sudirman, Jakarta Selatan",4
70,SJM,Concert Promoter,Discover more artists to follow & sync your music,vendor_image/SJM.jpeg,"Jl. H.R. Rasuna Said Blok X-5 Kav. 2-3, Rasuna Said, Jakarta Selatan",4
69,Messina Touring Group,Concert Promoter,Get personalized concert recommendations and stay connected with your favorite artists,vendor_image/Messina_Touring_Group.jpeg,"Jl. TB Simatupang No.20, TB Simatupang, Jakarta Selatan",5
68,Semmel Concerts Entertainment,Concert Promoter,Make your dream come true. Meet your new idols and stay connected,vendor_image/Semmel_Concerts_Entertainment.jpeg,"Jl. Jend. Sudirman Kav. 52-53, SCBD, Jakarta Selatan",5
67,OCESA,Concert Promoter,Bring the best tour in Indonesia. Get personalized concert recommendations,vendor_image/OCESA.jpeg,"Jl. TB Simatupang No.19, TB Simatupang, Jakarta Selatan",4
66,AEG Presents,Concert Promoter,Concert Tour. World renowned live entertainment,vendor_image/AEG_Presents.jpeg,"Jl. Raya Pasar Minggu Kav.16, Pasar Minggu, Jakarta Selatan",5
65,Live Nation,Concert Promoter,"Find the latest concert tickets for every festival, gig, tour date",vendor_image/Live_Nation.jpeg,"Jl. TB Simatupang Kav. 1 B, Jakarta Selatan",4
64,Ngantenan Yuk Wedding Organizer,Wedding,Your wedding won't complete without us.,vendor_image/Ngantenan_Yuk_Wedding_Organizer.jpeg,"Jl. Kemang Golf Raya No.6 blok ZB no 2RT.001/RW.036, Bojong Rawalumbu,",4
63,Denis Catering & Organizer,Wedding,"Denis Catering & Organizer is a provider of Catering Service and Wedding Organizer Services who are always committed to providing the best service to customers and prospective customers. . We have a team that is experienced in this matter, the culture within the team always prioritizes the wishes of prospective customers and combines the best solutions from Denis Catering & Organizer to make dreams come true at special moments.",vendor_image/Denis_Catering__Organizer.jpeg,"Jababeka Residence - Jl. Beruang VIII No.38, Jayamukti, Cikarang Pusat",5
62,Time Event Organizer,Wedding,"We provide the most complete wedding services, ranging from souvenirs, catering, invitations, handbouquets, wedding cakes, wedding dresses, wedding makeup, wedding decorations, catering, MC, entertainment, and event organizers.",vendor_image/Time_Event_Organizer.jpeg,Jl. Betet C2/11 Villa Jatirasa 17424,5
61,Tangan Kanan Pengantin,Wedding,"WO's Right Hand Team is a combined team of experienced, professional and certified Wedding Organizer and Event Management who have been widely trusted to help brides since 2016.  Our team is committed to becoming your confidante by handling your wedding arrangements starting from Engagement, Pre-Wedding, KUA File Management, Wedding Day Ceremony, to Traditional Weddings.  Trust your wedding moments with the bride's right hand.",vendor_image/Tangan_Kanan_Pengantin.jpeg,"Bekasi, Indonesia",4
60,Glowy wedding organizer,Wedding,We help our customer with plan and organize your wedding dream,vendor_image/Glowy_wedding_organizer.jpeg,Menara Kuningan Lt. 11 12940,4
59,Flexx Pictura Originals,Wedding,"""let us capture your journey, make it a beautiful book of a beautiful part of your life"" We serve other services such as: Photography and videography, Wedding Planner, Make Up, Cathering, Decoration.",vendor_image/Flexx_Pictura_Originals_.jpeg,"Jl.gardu raya blok c no.30 perumahan delima residance. Dramaga, bogor",4
58,Lisa Martha Wedding Organizer,Wedding,"Lisa Martha Wedding Organizer part of Martha Group. We're based in Bogor, Indonesia. We committed to always bring our customers deligtful, sweet and delicate signature in each and every design and our services with more than 30 years in wedding events. Lisa Martha Wedding Organizer always understand to create your special day with love, joy and full of happiness.",vendor_image/Lisa_Martha_Wedding_Organizer.jpeg,"Jl. Raya Sentul No. 33 Sentul, Bogor 16810",4
57,Maritza Planner | Organizer | Decoration,Wedding,"Create The Best Moment With Us!  Wedding Package, Wedding Planner, Wedding Decoration",vendor_image/Maritza_Planner__Organizer__Decoration.jpeg,Perumahan Keroncong Permai Blok EB 17 no 6-7 Gebang Raya Periuk Kota T,5
56,Nikahku Project,Wedding,"Legal by PT Media Karya Bumanda Planner - Package - Organizer We Plan Your Wedding, Like It's Ours!",vendor_image/Nikahku_Project_.jpeg,Jl Tumapel Blok OV No 28 Tanah Sareal Kota Bogor 16161,5
55,Wedding Butler,Wedding,Wedding Butler is a Wedding Planning & Organizing Services located in Bogor,vendor_image/Wedding_Butler_.jpeg,"Jl. Tajudin Yasin Kota Bogor, Jawa Barat 16141",4
54,PrideBride Wedding Organizer,Wedding,"PrideBride is a brand new of wedding services, especially in pandemic situation, hereby we proposed client with some ideas, concept and something that client needs for.",vendor_image/PrideBride_Wedding_Organizer.jpeg,"Sukaresmi Stoneyard No.3, Jalan Keramat Mbah Dalam. Kedung Halang, Tan",5
53,Cerita Kita Organizer,Wedding,"Cerita Kita Organizer established since 2016. We are committed to walking together with the bride and groom, providing the best service with heart. Pleasant Service is our most priority. We serve in the Jabodetabek Area, but we do not rule out the possibility of serving outside that area. Trust is something we have built since the beginning of communicating with you, future bride and groom. Not only for weddings, we also serve ac",vendor_image/Cerita_Kita_Organizer.jpeg,"Rancamaya Golf Estate, Cluster Summit, Bogor Selatan 16139",5
52,Priceless Wedding Planner & Organizer,Wedding,"Our mission is to help our clients develop a clear vision of what they wish to achieve, and to create and execute a complete solution that brings their vision into reality using proven strategies, innovative ideas, limitless resources, and professional expertise in the event management and function planning industry.",vendor_image/Priceless_Wedding_Planner__Organizer.jpeg,"Golden Pk No.12, Lengkong Karya, Kec. Serpong, Kota Tangerang Selatan,",5
51,Geoval Wedding,Wedding,Wedding Planner & Organizer Bali Wedding Planning Service WEDDING PLANNER | LEGAL WEDDING | DECORATION | PREWEDDING Ent @geovalentertainment  Decor @geovalweddingdecoration  E: info@geoval-organizer.com 📍BALI linktr.ee/geovalwedding,vendor_image/Geoval_Wedding.png,"Denpasar, Bali, 80225",5
50,Mazzel Decoration Project,Birthday Party,One of the party planners in Bogor is the Mazzel Decoration Project (M.D.P) which was founded by Widya Anggraeni in mid-2014. The name Mazzel comes from a foreign language which means good luck.,vendor_image/Mazzel_Decoration_Project.jpeg,"Jl. Raya Ciapus No.4 Rt03/07, Pasireurih, Kec. Tamansari, Kabupaten B",4
49,Adorable Party Planner Jogja,Birthday Party,"Event Planner ""Make Your Moments As Adorable As You"" EST. 2014 @adorableweddingdecor WA: 0857-4363-2743 Line: febrindarto2 📍 Yogyakarta Booking via WA/line (no DM) api.whatsapp.com/send?phone=6285743632743 kids birthday's profile picture",vendor_image/Adorable_Party_Planner_Jogja.png,"Yogyakarta, Indonesia",5
48,Partycle.id partyplanner jogja,Birthday Party,"It's time for you to sit neatly, calmly, and without worrying about your event which is full of moments. Partycle.id as Yogyakarta's best party planner is ready to cover decorations for your super memorable event. All you have to do is sit neatly and wear your best friends dresses and hang out with friends and family. The discuss concept feature between the partycle.id team and the client is our advantage. So that events really match your expectations.",vendor_image/Partycle.id_partyplanner_jogja.jpeg,"Jl. Nuri Jl. Gondang Raya No.27C, Kentungan, Condongcatur, Kec. Depok,",5
47,Plan My Event Bali,Birthday Party,"Planning an event in Bali? Our team of planners have done all the research for you! Browse & book venues, suppliers and more at the best rates. linktr.ee/planmyeventbali About us's profile picture",vendor_image/Plan_My_Event_Bali.png,"Jl. Mertanadi No.77, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bal",4
46,Didekorin.co Bali,Birthday Party,Event decoration service provider in Bali & party planner | IG: @didekorin.co,vendor_image/Didekorin.co_Bali.png,"Jl. Teuku Umar Gg. Kaswari No.2, Sesetan, Denpasar Selatan, Kota Denpa",4
45,Ajik Birthday Planner Bali,Birthday Party,"Ajik Birthday Planner Bali is a Event Organizer (EO) located in Denpasar. The registered address of the entity is 947M+8GV, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351. Further in detail information is provided in the corresponding sections along with the frequently asked questions. You can also read the customer reviews about Ajik Birthday Planner Bali as well as sharing your own experience. Every opinion is valuable, giving more insight on the company and other businesses in Denpasar.",vendor_image/Ajik_Birthday_Planner_Bali.jpeg,"947M+8GV, Pererenan, Mengwi, Badung Regency, Bali 80351",4
44,Deluxe Party Planner,Birthday Party,Setting Table Decoration Depends on Ur Budget 🎂 Birthday ❣️ Anniversary 💍 Bridal  🎓 Graduation For booking : WA 082285153962 (Revi) deluxe-party-planner.business.site,vendor_image/Deluxe_party_planner.png,"Cluster Cendana 5 Jl. Bogor Nirwana Residence No.19, RT.01/RW.05, Muly",5
43,Molas Bali Party Planner,Birthday Party,"Do you want your event to be more lively, complete and memorable? Don't forget to contact @molasbali.party Organizer, and we are ready to color your special event with complete service for all event needs, super friendly prices and no less quality of course.. Complete your event needs guys! Remember the Party, Remember the Komodo Party Planner  CP : WA - 0851138000151 / 087753004142 comeoparty.komodo@gmail.com .",vendor_image/Molas_Bali_Party_Planner.png,"JL.Trans Flores Komp.Pertokoan Pasar Baru, Manggarai Barat, Labuan Baj",5
42,Lily Wedding Services,Wedding,"Lily Wedding Services was created in 2009 by Sarce Sapangallo, owner and lead wedding planner who has been involved in Bali wedding industry for 10 years with hundreds of weddings that she has designs, planned and coordinated where each one was different and beautiful in its own way. With consecutive experience incredible  staff and team, and thought hard work and dedication, Lily Adding Service has grown  into a respected, full-service wedding planning company In Bali. If you want to know more please check this link :https://lilyweddingservices.com/lily-wedding-services-team-meet-us/",vendor_image/Lily_Wedding_Services.jpeg,"Perum Bali Arum Blok E, Lingkungan Kalanganyar, Jimbaran, South Kuta,",5
41,The Seven Agency,Wedding,"Founded: 2008 Registered: Five Media LLC, 270 Dunridge Circle East Dundee. IL 60118. USA Head office: PT Maharta, Complex Kuta Central Park, Block PM1 N°1, J. Patih Jelantik, Kuta, Bali, 80361. Indonesia Branches: Maldives, Sri Lanka, Venice, Santorini. Goa Number employees: 62",vendor_image/7_Agent.jpeg,"Complex Kuta Central Park, Block PM1 №1 Jl. Patih Jelantik, Kuta, Bali",5
40,Bali Party Professionals,Birthday Party,"In 2011 we decided to branch out on our own and thus Bali Party Professionals was established. If you have ever tried to plan a party on your own, you already know how difficult and tedious the process can be. Add to that the stress of planning an event in another country, with different currency and language barriers, and it can seem next to impossible. More info please check https://www.balipartyprofessionals.com/our-company/",vendor_image/Bali_Party_Professionals.jpeg,"Bali, Indonesia",4
39,Bali Party Planner,Birthday Party,"Bali party planner service for decorating dinner, decorating room (anniversary or birthday or honeymoon)  and surprise to bridal shower",vendor_image/Bali_Party_Planner.jpeg,"Bali, Indonesia",5
38,Bali Kids Party,Birthday Party,"The perfect kids party from invitations to goodie-bags and everything in-between. Parties come in all shapes and sizes, from intimate small gatherings to lavish Hollywood-style productions. Themes can be based on parties we have done before or custom designed to your and your child's specifications. We can provide costumes and scenery, games and prizes and fun-food for all tastes.",vendor_image/Bali_Kids_Party_.jpeg,"Bali, Indonesia",5
37,Bali Rose Decoration,Birthday Party,Dekorasi lamaran start from 650k Party planner only 50.000/pax (min4pax) Chat? Klik👇🏻 api.whatsapp.com/send?phone=6585448853,vendor_image/Bali_Rose_Decoration.png,"Bali, Gianyar",4
36,Go Real Escapes,Birthday Party,"√ We are partayyyy people! Would you trust a dentist with bad teeth? Hairdresser with bad hair? Nuff said. √ We are organised control freaks. Group trips and events require planning down to the finest detail. Leave it to the freaks to cover that! √ We speak a couple of languages; Party, English, Aussie & Kiwi. We’re booking FUN for you, so we have fun throughout the whole process. √ We have spent years trialling the best venues, activities, boats & functions to bring you only the BEST that is on the market. √ We book in bulk which means we generally have the best deals, offers and specials on the market. √ We take care of all the hard parts so you can have all the fun.",vendor_image/gorealescapes.jpeg,"Bali, Indonesia",4
35,Bali Party Hire,Birthday Party,"We Can Customise The Ultimate Party In Bali We provide the best party hire decorations, equipment, djs, party villas & party services so you dont have too. Anything from balloons to private yacht hire in Bali",vendor_image/BALI_PARTY_HIRE_PROFESSIONALS.webp,"Jl. Raya Padonan No.24, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung,",5
34,Dream Flavours,Birthday Party,"we are a party planner and event organizer based in Jakarta, Indonesia specializing in creating your dream parties.",vendor_image/Secret_Garden.webp,Jalan Raya Jatinegara Timur no. 91B Jakarta Timur,4
33,Gambrengan Kid's Birthday Party Decorator /Event Organizer,Birthday Party,"All Rights Reserved| Gambrengan |Jasa Entertaiment , dekorasi balon / panggung / backdrop styrofoam , badut, Event Organizer / EO Perayaan Tedhak Siten, Kid’s Party Planner , Photobooth , Aktivitas / Activity, Pinata, Toys Rental / Sewa Mainan, Carnival - Inflatable Bouncer Games For Hire, Penyelenggara Acara Pesta Ulang Tahun Anak - anak , Company / Perusahaan Family Gathering Organiser |Jual Bento, Ulang Tahun, Birthday Event Organizer, Rental Playground / Kids Corner, Kid’s Party",vendor_image/Gambrengan_Kids_Birthday_Party_Decorator_Event_Organizer_and_Toys_Re.png,"Komp Polri Ragunan, JL I no. 35, Ampera Raya, Kemang, RT.3/RW.6, Ragun",4
32,Sweets Delight,Birthday Party,"Sweets Delight provides a dessert table where all of its products are made from quality and homemade ingredients.  Dessert products that we make, namely chocolate, cupcakes, cakepops, pudding, cookies, and others. Where this dessert table will enliven your special event. It is suitable for Birthdays, Sweet 17th, Weddings, baby showers, bridal showers, gatherings, and so on.  We will design all the products that we offer according to the theme of your event.  In addition to dessert tables, we also provide party planner services, where we will help organize your party day. We provide MC, Magic Show, receptionist, pinata, balloon decorations, 3d decorations, kids activity.  thank you",vendor_image/Sweets_Delight.png,Jakarta,5
31,Party Pelangi,Birthday Party,Party planner kids birthday Jakarta is a service provider to serve customers who want to make a luxurious birthday event immediately Contact Us Party Planner Kids Birthday Jakarta Services with Friendly Service Contact Us : 081280841509 contact@domain.com,vendor_image/Party_Pelangi.jpeg,"Jakarta,bandung,semarang ,jogja All Jabodeteabek",5
30,Peach Party Planner,Birthday Party,Partyplanner-Decor-Goodie Bags-Dessert Table-Setting Table🌺 Goodie: #peachhampers WA : 0811249119 Email : peachpartyplanner@yahoo.co.id,vendor_image/Peach_Party_Planner.png,Bandung,4
29,B&B Project,Birthday Party,"BnB project is a party planner, wedding and event organizer who has a creative and experienced team.  Our team is very experienced in preparing an event from concept to execution with a budget that is tailored to the wishes of the client without compromising the excitement and essence of the event.",vendor_image/BB_Project.png,Jalan Raya Cibeureum No. 131 Kota Cimahi Selatan 40535,4
28,Majesty Signature Decoration,Birthday Party,Established in 2000 and has become one of the most prominent vendor in decoration field. Price and package are negotiable based on clients request and needs. Contact us for further information and consultation,vendor_image/Majesty_Signature_Decoration.jpeg,Jl. Lembah DIeng A 2 No.10 Malang 65151,5
27,Courtyard by Marriott Bali Seminyak,Birthday Party,"Dreaming of a romantic destination wedding or party right in the heart of Bali’s most loved Seminyak? Explore a range of venue options at Courtyard by Marriott Bali Seminyak Resort to fulfill your special day. Here at Courtyard, we offer you a variety of options that meet your personal needs to make sure your wedding day is a flawless one.",vendor_image/Courtyard_by_Marriott_Bali_Seminyak.jpeg,"Courtyard by Marriott Bali Seminyak Resort, Sp, Jalan Camplung Tanduk",4
26,Midtown Hotel Samarinda,Birthday Party,Midtown Hotels Samarinda is a star-rated business and family hotel that is trusted and loved by thousands of guests and visitors as one of the hotels that is able to provide services that exceed guests' expectations. Friendly service that is equivalent to international hotels presenting a pleasant stay experience in a modern nuanced hotel that is equipped with luxurious facilities and located in strategic location.,vendor_image/midtown-hotel-samarinda_birthday-hj-muliani_2.jpeg,"Jl. Hasan Basri No.58, Bandara, Kec. Sungai Pinang, Kota Samarinda, Ka",4
25,The Wedding of Tareq & Zain  by Ada Wedding Organizer,Wedding,"Wedding organizer, wedding vendor, wedding planner, wedding consultant, photography, catering, makeup artist, hair do, decoration, entertainment, photographer, videographer, pre-wedding, etc.",vendor_image/Ada_Wedding_Organizer.jpeg,"Jl. Kerja Bakti No. 7 RT 003/09 Kramat Jati, Jakarta Timur 13510",4
24,Moist Wedding Planner & Organizer,Wedding,"Moist Wedding Planner adalah salah satu wedding planner yang berlokasi di Jakarta. Kami menyediakan Jasa wedding planner yang sudah berpengalaman, Let Us Be Your Wedding Best Part .",vendor_image/Moist_Wedding_Planner__Organizer_.jpeg,"Cityloft Building Sudirman, Jl.K.H.Mas Mansyur, Jakarta Pusat 10220",4
23,Mint Party Planner & Decoration,Birthday Party,"We make a custom party for your event Creative, unique and detail We accept birthday party, bridal shower , baby shower, special event, wedding, etc",vendor_image/Mint_Party_Planner__Decoration.jpeg,Jl. Surya Sumantri 35 Bandung 40116,5
22,Codolsky,Birthday Party,Jasa Dekorasi 3D Styrofoam dan Balon. Vendor Pembuatan Kerajinan Ukiran dan Lukis Gabus. Produksi Kostum Boneka Badut Maskot. EO Birthday Ultah Anak.,vendor_image/Codolsky.png,"Jl. Delima jaya, No. 1B, Kp. Setu - Rempoa, Ciputat Tangsel 15412",4
21,Thirta Bali,Wedding,"The pioneer of wedding specialist in Bali since 2003.  Located on the southern part of Bali with the best sunset view on the island. Unique services and facilities of Tirtha Bali are an exclusive on-site Bridal Boutique, which offers gowns, tuxedos, accessories, wedding favors and gifts.  Additional services include in house floral consultant, hair and make-up stylists, stationery, photography and video services, and entertainment consultant.",vendor_image/Tirtha_Bali.jpeg,"Jl. Raya Uluwatu, Br. Dinas Karang Boma, Desa Pecatu, Bali 80361 80361",5
20,KPH production Event & Wedding Planner,Wedding,"Event planner & Organizer, wedding Planner & Organizer We make your event and wedding PERFECT!",vendor_image/kphn_production_event_wedding_planner.jpeg,jl. Laswi no 10 Bandung 40271 40271,4
19,8party,Birthday Party,8Party adalah sebuah event planner yang berfokus di berbagai bidding salah satunya adalah Birthday planner. contact  us for more info (ig: @8party),vendor_image/8party.png,"Jakarta Selatan, Jakarta, Indonesia",4
18,NAREMAX Event Organizer,Birthday Party,"Jasa Event Organizer Ulang Tahun Murah di Jakarta, Bogor, Bekasi, Depok, Tangerang, Bogor & Bandung NAREMAX Event Organizer adalah salah satu penyedia jasa event organizer ulang tahun murah No. 1 di Jakarta yang telah melayani berbagai acara ulang tahun & sweet seventeen di lebih dari 25+ acara di Jakarta, Bali, Bekasi, Depok, Tangerang, Bogor dan Bandung. Dapatkan harga event organizer ulang tahun termurah hanya di NAREMAX Event Organizer!",vendor_image/NAREMAX_Event_Organizer.jpeg,"Jl. Ancol Sel. II No.1F, RT.13/RW.6, Sunter Agung, Kec. Tj. Priok, Kot",5
17,Elouise Decoration,Birthday Party,Birthday Party Decor (All in) Dimulai dari IDR 1.500.000 / 1 Customize! Choose your own decor.,vendor_image/Elouise_Decoration.png,Bekasi Timur Regensi Blok H 20/11 RT 04 RW 16,4
16,Petra Organizer,Wedding,Petra wedding adalah wedding planner yang berlokasi di Bali Indonesia. Wedding Organizer Dimulai dari IDR 20.000.000 / 100  1. 1 Full Day Wedding in Charge 2. 10 Crew on the day 3. Technical meeting to all vendors 4. Wedding Program 5. Rehearsal Assistance 6. Daily Assistance 7. Production Assistance on the day 8. Steamer for Suits & Dress,vendor_image/Petra_Organizer.jpeg,"Jl. Antosura, Lembah Pujian C12, Denpasar-Bali, 80115 80115",5
15,Double Happiness Wedding Organizer,Wedding,"We will help for each couple to realize the wedding dreams that you needs by cooperate with professional vendors who able fulfill your wedding dream come true.  In addition we can also cooperate the professional vendor which suitable with your budget,  Let's contact us for getting our professional consult.",vendor_image/Double_Happiness_Wedding_Organizer.jpeg,"Jakarta, Indonesia",4
14,PT Cana Global,Concert Promoter,"PT Cana Global Media, promotor acara hiburan di Indonesia, menangkap wabah K-Pop sebagai peluang.",vendor_image/PT_Cana_Global.png,"Jakarta, Indonesia",3
13,Boart indonesia,Concert Promoter,We are Boart Indonesia is also an independent music networking company which has a vision of connect,vendor_image/Boart_indonesia.png,"Tri Cipta Solusi, Jl. KH Abdullah Syafei, RT.5/RW.6, East Tebet, Tebet",4
